header,taxon,protein,sp,description,vog,virus name,virus lineage,refseq id,KEGG GENOME,KEGG DISEASE,DISEASE,host tax id,host name,domain,phylum,class,order,family.etc,pmid,evidence,sample type,source organism,n.host,filt,viral.family
754042.YP_007674494.1 sigma factor for late transcription [Synechococcus phage S-SKS1],754042,YP_007674494.1,Synechococcus phage S-SKS1, sigma factor for late transcription,VOG05673,Synechococcus phage S-SKS1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Llyrvirus; Synechococcus virus SSKS1,NC_020851,NA,NA,NA,32051,Synechococcus sp. WH 7803,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,RefSeq,NA,NA,1,754042.YP_007674494.1,Myoviridae
756278.YP_009783037.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-RIM8],756278,YP_009783037.1,Synechococcus phage S-RIM8, RNA polymerase sigma factor for late transcription,VOG05673,Synechococcus phage S-RIM8,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Neptunevirus; Synechococcus virus SRIM8,NC_047733,NA,NA,NA,1129,Synechococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae,NA,RefSeq,NA,NA,1,756278.YP_009783037.1,Myoviridae
760732.YP_004009727.1 gp55 sigma factor [Acinetobacter phage Acj61],760732,YP_004009727.1,Acinetobacter phage Acj61, gp55 sigma factor,VOG05673,Acinetobacter phage Acj61,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_014661,NA,NA,NA,40214,Acinetobacter johnsonii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae; Acinetobacter,21029436,"Literature, NCBI Virus, RefSeq",NA,NA,1,760732.YP_004009727.1,Myoviridae
760939.YP_004010254.1 gp55 sigma factor [Acinetobacter phage Acj9],760939,YP_004010254.1,Acinetobacter phage Acj9, gp55 sigma factor,VOG05673,Acinetobacter phage Acj9,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_014663,NA,NA,NA,40214,Acinetobacter johnsonii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae; Acinetobacter,21029436,"Literature, NCBI Virus, RefSeq",NA,NA,1,760939.YP_004010254.1,Myoviridae
762660.YP_004009472.1 gp55 sigma factor [Acinetobacter phage Ac42],762660,YP_004009472.1,Acinetobacter phage Ac42, gp55 sigma factor,VOG05673,Acinetobacter phage Ac42,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_014660,NA,NA,NA,469,Acinetobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,21029436,"Literature, NCBI Virus",NA,NA,1,762660.YP_004009472.1,Myoviridae
869662.YP_007675594.1 hypothetical protein [Synechococcus phage S-RIM2 R1_1999],869662,YP_007675594.1,Synechococcus phage S-RIM2 R1_1999, hypothetical protein,VOG05673,Synechococcus phage S-RIM2 R1_1999,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Nerrivikvirus; unclassified Nerrivikvirus,NC_020859,NA,NA,NA,32051,Synechococcus sp. WH 7803,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,869662.YP_007675594.1,Myoviridae
869724.YP_007518209.1 gp55 [Synechococcus phage S-RIM8 A.HR1],869724,YP_007518209.1,Synechococcus phage S-RIM8 A.HR1, gp55,VOG05673,Synechococcus phage S-RIM8 A.HR1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Neptunevirus; unclassified Neptunevirus,NC_020486,NA,NA,NA,32051,Synechococcus sp. WH 7803,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,869724.YP_007518209.1,Myoviridae
879628.YP_003969248.1 sigma factor [Aeromonas phage phiAS4],879628,YP_003969248.1,Aeromonas phage phiAS4, sigma factor,VOG05673,Aeromonas phage phiAS4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tulanevirus; Aeromonas virus AS4,NC_014635,NA,NA,NA,645,Aeromonas salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,RefSeq,NA,NA,1,879628.YP_003969248.1,Myoviridae
879630.YP_003969448.1 sigma factor for T4 late transcription [Aeromonas phage phiAS5],879630,YP_003969448.1,Aeromonas phage phiAS5, sigma factor for T4 late transcription,VOG05673,Aeromonas phage phiAS5,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_014636,NA,NA,NA,645,Aeromonas salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,"NCBI Virus, RefSeq",NA,NA,1,879630.YP_003969448.1,Myoviridae
889956.YP_007673956.1 late transcription sigma factor [Prochlorococcus phage MED4-213],889956,YP_007673956.1,Prochlorococcus phage MED4-213, late transcription sigma factor,VOG05673,Prochlorococcus phage MED4-213,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eurybiavirus; Prochlorococcus virus MED4-213,NC_020845,NA,NA,NA,1218,Prochlorococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Prochloraceae,NA,RefSeq,NA,NA,1,889956.YP_007673956.1,Myoviridae
926067.YP_009011456.1 gp55 sigma factor for late transcription [Aeromonas phage PX29],926067,YP_009011456.1,Aeromonas phage PX29, gp55 sigma factor for late transcription,VOG05673,Aeromonas phage PX29,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_023688,NA,NA,NA,645,Aeromonas salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,21029436,"Literature, NCBI Virus, RefSeq",NA,NA,1,926067.YP_009011456.1,Myoviridae
926589.YP_007002740.1 sigma factor for late transcription [Escherichia phage PhaxI],926589,YP_007002740.1,Escherichia phage PhaxI, sigma factor for late transcription,VOG05673,Escherichia phage PhaxI,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Escherichia virus PhaxI,NC_019452,NA,NA,NA,83334,Escherichia coli O157:H7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,NA,RefSeq,NA,NA,1,926589.YP_007002740.1,Ackermannviridae
929832.YP_007675119.1 hypothetical protein [Cyanophage P-RSM6],929832,YP_007675119.1,Cyanophage P-RSM6, hypothetical protein,VOG05673,Cyanophage P-RSM6,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Libanvirus; unclassified Libanvirus,NC_020855,NA,NA,NA,59920,Prochlorococcus marinus str. NATL2A,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Prochloraceae; Prochlorococcus; Prochlorococcus marinus,NA,NA,NA,NA,1,929832.YP_007675119.1,Myoviridae
934027.YP_004421673.1 gp55 Sigma factor for T4 late transcription [Campylobacter virus NCTC12673],934027,YP_004421673.1,Campylobacter virus NCTC12673, gp55 Sigma factor for T4 late transcription,VOG05673,Campylobacter virus NCTC12673,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eucampyvirinae; Fletchervirus,NC_015464,NA,NA,NA,197,Campylobacter jejuni,Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales; Campylobacteraceae; Campylobacter,NA,"NCBI Virus, RefSeq",NA,NA,1,934027.YP_004421673.1,Myoviridae
990550.YP_009623330.1 hypothetical protein [Campylobacter virus CP81],990550,YP_009623330.1,Campylobacter virus CP81, hypothetical protein,VOG05673,Campylobacter virus CP81,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eucampyvirinae; Fletchervirus,NC_042112,NA,NA,NA,197,Campylobacter jejuni,Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales; Campylobacteraceae; Campylobacter,NA,"NCBI Virus, RefSeq",NA,NA,1,990550.YP_009623330.1,Myoviridae
1406790.YP_008772001.1 RNA polymerase sigma factor [Bacillus phage Slash],1406790,YP_008772001.1,Bacillus phage Slash, RNA polymerase sigma factor,VOG00048,Bacillus phage Slash,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Slashvirus; Bacillus virus Slash,NC_022774,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1406790.YP_008772001.1,Siphoviridae
1406792.YP_008770814.1 RNA polymerase sigma 70 factor [Bacillus phage Staley],1406792,YP_008770814.1,Bacillus phage Staley, RNA polymerase sigma 70 factor,VOG00048,Bacillus phage Staley,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Slashvirus; Bacillus virus Staley,NC_022767,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1406792.YP_008770814.1,Siphoviridae
1610832.YP_009203702.1 RNA polymerase sigma factor [Bacillus phage Stahl],1610832,YP_009203702.1,Bacillus phage Stahl, RNA polymerase sigma factor,VOG00048,Bacillus phage Stahl,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Slashvirus; Bacillus virus Stahl,NC_028856,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,26251491,"Literature, RefSeq",NA,NA,1,1610832.YP_009203702.1,Siphoviridae
1610833.YP_009196983.1 RNA polymerase sigma factor [Bacillus phage Stills],1610833,YP_009196983.1,Bacillus phage Stills, RNA polymerase sigma factor,VOG00048,Bacillus phage Stills,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Slashvirus; Bacillus virus Stills,NC_028777,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,26251490,"Literature, RefSeq",NA,NA,1,1610833.YP_009196983.1,Siphoviridae
1776293.YP_009274876.1 sporulation sigma factor SigF [Bacillus phage Eldridge],1776293,YP_009274876.1,Bacillus phage Eldridge, sporulation sigma factor SigF,VOG00048,Bacillus phage Eldridge,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; unclassified Bastillevirinae,NC_030920,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,"NCBI Virus, RefSeq",NA,NA,1,1776293.YP_009274876.1,Herelleviridae
2593638.YP_009850160.1 RNA polymerase sigma factor [Bacillus phage vB_BmeM-Goe8],2593638,YP_009850160.1,Bacillus phage vB_BmeM-Goe8, RNA polymerase sigma factor,VOG00048,Bacillus phage vB_BmeM-Goe8,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; unclassified Bastillevirinae,NC_048797,NA,NA,NA,592022,Bacillus megaterium DSM 319,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus megaterium,NA,"NCBI Virus, RefSeq",NA,NA,1,2593638.YP_009850160.1,Herelleviridae
1161935.YP_007010532.1 RNA polymerase sigma factor [Salinivibrio phage CW02],1161935,YP_007010532.1,Salinivibrio phage CW02, RNA polymerase sigma factor,VOG00048,Salinivibrio phage CW02,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_019540,NA,NA,NA,51367,Salinivibrio costicola,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae; Salinivibrio,NA,"NCBI Virus, RefSeq",NA,NA,1,1161935.YP_007010532.1,Podoviridae
1622234.YP_009168428.1 putative sigma factor [Citrobacter phage CVT22],1622234,YP_009168428.1,Citrobacter phage CVT22, putative sigma factor,VOG00048,Citrobacter phage CVT22,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_027988,NA,NA,NA,1676276,Citrobacter sp. TM1552,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Citrobacter,26184927,"Literature, NCBI Virus, RefSeq",NA,NA,1,1622234.YP_009168428.1,Podoviridae
1784982.YP_009304524.1 RNA polymerase sigma factor [Pseudomonas phage O4],1784982,YP_009304524.1,Pseudomonas phage O4, RNA polymerase sigma factor,VOG00048,Pseudomonas phage O4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_031274,NA,NA,NA,208964,Pseudomonas aeruginosa PAO1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa,NA,"NCBI Virus, RefSeq",NA,NA,1,1784982.YP_009304524.1,Podoviridae
347327.YP_001294605.1 hypothetical protein ORF012 [Pseudomonas phage PA11],347327,YP_001294605.1,Pseudomonas phage PA11, hypothetical protein ORF012,VOG00048,Pseudomonas phage PA11,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_007808,NA,NA,NA,287,Pseudomonas aeruginosa,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group,NA,"NCBI Virus, RefSeq",NA,NA,1,347327.YP_001294605.1,Podoviridae
2065199.YP_009622104.1 helix-turn-helix DNA binding protein [Microbacterium phage Dismas],2065199,YP_009622104.1,Microbacterium phage Dismas, helix-turn-helix DNA binding protein,VOG00048,Microbacterium phage Dismas,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Dismasvirus; Microbacterium virus Dismas,NC_042099,NA,NA,NA,104336,Microbacterium foliorum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae; Microbacterium,NA,RefSeq,NA,NA,1,2065199.YP_009622104.1,Siphoviridae
2201444.YP_009803165.1 RNA polymerase sigma factor [Microbacterium phage Zeta1847],2201444,YP_009803165.1,Microbacterium phage Zeta1847, RNA polymerase sigma factor,VOG00048,Microbacterium phage Zeta1847,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Zetavirus; Microbacterium virus Zeta1847,NC_047992,NA,NA,NA,199592,Microbacterium paraoxydans,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae; Microbacterium,NA,RefSeq,NA,NA,1,2201444.YP_009803165.1,Siphoviridae
2250289.YP_009806822.1 RNA polymerase sigma factor [Microbacterium phage Eden],2250289,YP_009806822.1,Microbacterium phage Eden, RNA polymerase sigma factor,VOG00048,Microbacterium phage Eden,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Edenvirus; Microbacterium virus Eden,NC_048017,NA,NA,NA,104336,Microbacterium foliorum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae; Microbacterium,NA,RefSeq,NA,NA,1,2250289.YP_009806822.1,Siphoviridae
2419955.YP_009815387.1 RNA polymerase [Arthrobacter phage DrManhattan],2419955,YP_009815387.1,Arthrobacter phage DrManhattan, RNA polymerase,VOG00048,Arthrobacter phage DrManhattan,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Manhattanvirus; Arthrobacter virus DrManhattan,NC_048093,NA,NA,NA,37927,Sinomonas atrocyanea,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae; Sinomonas,NA,RefSeq,NA,NA,1,2419955.YP_009815387.1,Siphoviridae
2419970.YP_009815662.1 RNA polymerase [Arthrobacter phage Yang],2419970,YP_009815662.1,Arthrobacter phage Yang, RNA polymerase,VOG00048,Arthrobacter phage Yang,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Yangvirus; Arthobacter virus Yang,NC_048097,NA,NA,NA,1665,Arthrobacter globiformis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae; Arthrobacter,NA,RefSeq,NA,NA,1,2419970.YP_009815662.1,Siphoviridae
2419971.YP_009815177.1 RNA polymerase sigma factor [Microbacterium phage Armstrong],2419971,YP_009815177.1,Microbacterium phage Armstrong, RNA polymerase sigma factor,VOG00048,Microbacterium phage Armstrong,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Armstrongvirus; Microbacterium virus Armstrong,NC_048090,NA,NA,NA,104336,Microbacterium foliorum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae; Microbacterium,NA,RefSeq,NA,NA,1,2419971.YP_009815177.1,Siphoviridae
2488780.YP_009817077.1 RNA polymerase [Arthrobacter phage Liebe],2488780,YP_009817077.1,Arthrobacter phage Liebe, RNA polymerase,VOG00048,Arthrobacter phage Liebe,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Liebevirus; Arthrobacter virus Liebe,NC_048115,NA,NA,NA,1665,Arthrobacter globiformis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae; Arthrobacter,NA,RefSeq,NA,NA,1,2488780.YP_009817077.1,Siphoviridae
1493511.YP_009134404.1 subfamily RNA polymerase sigma-70 subunit [Synechococcus phage ACG-2014f],1493511,YP_009134404.1,Synechococcus phage ACG-2014f, subfamily RNA polymerase sigma-70 subunit,VOG00048,Synechococcus phage ACG-2014f,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,"NC_047712, NC_047713, NC_047714",NA,NA,NA,1129,Synechococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae,NA,NCBI Virus,NA,NA,2,1493511.YP_009134404.1,Myoviridae
2053653.YP_009816500.1 RNA polymerase sigma factor [Synechococcus phage S-CBWM1],2053653,YP_009816500.1,Synechococcus phage S-CBWM1, RNA polymerase sigma factor,VOG00048,Synechococcus phage S-CBWM1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Aokuangvirus; Synechococcus virus SCBWM1,NC_048106,NA,NA,NA,1353134,Synechococcus sp. CBW1002,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,RefSeq,NA,NA,1,2053653.YP_009816500.1,Myoviridae
1691954.YP_009199135.1 putative RNA polymerase sigma factor [Brevibacillus phage Jenst],1691954,YP_009199135.1,Brevibacillus phage Jenst, putative RNA polymerase sigma factor,VOG00048,Brevibacillus phage Jenst,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Jenstvirus; Brevibacillus virus Jenst,NC_028805,NA,NA,NA,1465,Brevibacillus laterosporus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae; Brevibacillus,26494658,"Literature, RefSeq",NA,NA,1,1691954.YP_009199135.1,Siphoviridae
1084719.YP_009015380.1 gp69 [Bacillus virus G],1084719,YP_009015380.1,Bacillus virus G, gp69,VOG00048,Bacillus virus G,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae,NC_023719,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,"NCBI Virus, RefSeq",NA,NA,1,1084719.YP_009015380.1,Myoviridae
1118063.YP_006560728.1 sigma-70 family RNA polymerase sigma factor [Staphylococcus phage SpaA1],1118063,YP_006560728.1,Staphylococcus phage SpaA1, sigma-70 family RNA polymerase sigma factor,VOG00048,Staphylococcus phage SpaA1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_018277,NA,NA,NA,45972,Staphylococcus pasteuri,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,1118063.YP_006560728.1,Siphoviridae
1118064.YP_009829851.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage BceA1],1118064,YP_009829851.1,Bacillus phage BceA1, sigma-70 family RNA polymerase sigma factor,VOG00048,Bacillus phage BceA1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_048628,NA,NA,NA,86661,Bacillus cereus group,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,22815791,Literature,NA,NA,1,1118064.YP_009829851.1,Siphoviridae
1124578.YP_007004340.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage phIS3501],1124578,YP_007004340.1,Bacillus phage phIS3501, sigma-70 family RNA polymerase sigma factor,VOG00048,Bacillus phage phIS3501,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_019502,NA,NA,NA,1428,Bacillus thuringiensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,NCBI Virus,NA,NA,2,1124578.YP_007004340.1,Siphoviridae
1194641.YP_006488705.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage BtCS33],1194641,YP_006488705.1,Bacillus phage BtCS33, sigma-70 family RNA polymerase sigma factor,VOG00048,Bacillus phage BtCS33,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_018085,NA,NA,NA,1428,Bacillus thuringiensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,"NCBI Virus, RefSeq",NA,NA,1,1194641.YP_006488705.1,Siphoviridae
1357713.YP_009009184.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage phiCM3],1357713,YP_009009184.1,Bacillus phage phiCM3, sigma-70 family RNA polymerase sigma factor,VOG00048,Bacillus phage phiCM3,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_023599,NA,NA,NA,1428,Bacillus thuringiensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,"NCBI Virus, RefSeq",NA,NA,1,1357713.YP_009009184.1,Siphoviridae
1007127.YP_008873651.1 putative sigma factor [Staphylococcus phage Sb1],1007127,YP_008873651.1,Staphylococcus phage Sb1, putative sigma factor,VOG00048,Staphylococcus phage Sb1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus; Staphylococcus virus Sb1,NC_023009,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,RefSeq,NA,NA,1,1007127.YP_008873651.1,Herelleviridae
1041526.YP_008854276.1 putative sigma factor [Staphylococcus phage S25-3],1041526,YP_008854276.1,Staphylococcus phage S25-3, putative sigma factor,VOG00048,Staphylococcus phage S25-3,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus; Staphylococcus virus S253,NC_022920,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,23869440,"Literature, UniProt",NA,NA,1,1041526.YP_008854276.1,Herelleviridae
1041527.YP_008854100.1 putative sigma factor [Staphylococcus phage S25-4],1041527,YP_008854100.1,Staphylococcus phage S25-4, putative sigma factor,VOG00048,Staphylococcus phage S25-4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus; Staphylococcus virus S25-4,NC_022918,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,"Literature, UniProt",NA,NA,1,1041527.YP_008854100.1,Herelleviridae
10685.YP_002300430.1 gp34 [Bacillus virus SPO1],10685,YP_002300430.1,Bacillus virus SPO1, gp34,VOG00048,Bacillus virus SPO1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Okubovirus,NC_011421,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,10685.YP_002300430.1,Herelleviridae
1126950.YP_006907988.1 putative sigma factor [Bacillus phage BCP78],1126950,YP_006907988.1,Bacillus phage BCP78, putative sigma factor,VOG00048,Bacillus phage BCP78,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Tsarbombavirus; Bacillus virus BCP78,NC_018860,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,1126950.YP_006907988.1,Herelleviridae
1129192.YP_009149728.1 putative sigma factor [Bacillus phage BCP8-2],1129192,YP_009149728.1,Bacillus phage BCP8-2, putative sigma factor,VOG00048,Bacillus phage BCP8-2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Caeruleovirus; Bacillus virus BCP82,NC_027355,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,1129192.YP_009149728.1,Herelleviridae
