taxon,n.sig,header,protein,sp,description,vog,virus name,virus lineage,refseq id,KEGG GENOME,KEGG DISEASE,DISEASE,host tax id,host name,domain,phylum,class,order,family.etc,pmid,evidence,sample type,source organism,n.host,filt,viral.family,tigr.hit1,tigr.hit2,tigr.hit3,tigr.hit,sig.class,sig.group
1493513,1,1493513.YP_009140904.1 late transcription sigma factor [Synechococcus phage ACG-2014i],YP_009140904.1,Synechococcus phage ACG-2014i, late transcription sigma factor,VOG05673,Synechococcus phage ACG-2014i,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_027132,NA,NA,NA,32051,Synechococcus sp. WH 7803,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,NA,NA,NA,1,1493513.YP_009140904.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
1493514,1,1493514.YP_009134113.1 late transcription sigma factor [Synechococcus phage ACG-2014j],YP_009134113.1,Synechococcus phage ACG-2014j, late transcription sigma factor,VOG05673,Synechococcus phage ACG-2014j,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_026926,NA,NA,NA,32051,Synechococcus sp. WH 7803,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,NA,NA,NA,1,1493514.YP_009134113.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
1495285,1,1495285.YP_009030673.1 sigma factor [Escherichia phage vB_EcoM_112],YP_009030673.1,Escherichia phage vB_EcoM_112, sigma factor,VOG05673,Escherichia phage vB_EcoM_112,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus E112,NC_024125,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1495285.YP_009030673.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1498168,1,1498168.YP_009147040.1 putative sigma factor [Enterococcus phage ECP3],YP_009147040.1,Enterococcus phage ECP3, putative sigma factor,VOG00048,Enterococcus phage ECP3,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Brockvirinae; Kochikohdavirus; Enterococcus virus ECP3,NC_027335,NA,NA,NA,1351,Enterococcus faecalis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae; Enterococcus,NA,RefSeq,NA,NA,1,1498168.YP_009147040.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1498212,3,1498212.YP_009149167.1 putative RNA polymerase sigma factor [Bacillus phage JBP901],YP_009149167.1,Bacillus phage JBP901, putative RNA polymerase sigma factor,VOG00048,Bacillus phage JBP901,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Caeruleovirus; Bacillus virus JBP901,NC_027352,NA,NA,NA,226900,Bacillus cereus ATCC 14579,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group; Bacillus cereus,NA,RefSeq,NA,NA,1,1498212.YP_009149167.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1498212,3,1498212.YP_009149124.1 putative RNA polymerase sigma-70 factor [Bacillus phage JBP901],YP_009149124.1,Bacillus phage JBP901, putative RNA polymerase sigma-70 factor,VOG00048,Bacillus phage JBP901,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Caeruleovirus; Bacillus virus JBP901,NC_027352,NA,NA,NA,226900,Bacillus cereus ATCC 14579,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group; Bacillus cereus,NA,RefSeq,NA,NA,1,1498212.YP_009149124.1,Herelleviridae,SigBFG,spore_sigF,sigma70-ECF,spore_sigF,sporulation,sig70-3-spo
1498212,3,1498212.YP_009149125.1 putative RNA polymerase sigma factor G [Bacillus phage JBP901],YP_009149125.1,Bacillus phage JBP901, putative RNA polymerase sigma factor G,VOG00048,Bacillus phage JBP901,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Caeruleovirus; Bacillus virus JBP901,NC_027352,NA,NA,NA,226900,Bacillus cereus ATCC 14579,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group; Bacillus cereus,NA,RefSeq,NA,NA,1,1498212.YP_009149125.1,Herelleviridae,spore_sigF,SigBFG,spore_sigG,spore_sigF,sporulation,sig70-3-spo
1508678,1,1508678.YP_009592897.1 hypothetical protein [Escherichia coli O157 typing phage 3],YP_009592897.1,Escherichia coli O157 typing phage 3, hypothetical protein,VOG05673,Escherichia coli O157 typing phage 3,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Mosigvirus; Escherichia virus O157tp3,NC_041863,NA,NA,NA,83334,Escherichia coli O157:H7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,NA,RefSeq,NA,NA,1,1508678.YP_009592897.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1508681,1,1508681.YP_009593078.1 hypothetical protein [Escherichia coli O157 typing phage 6],YP_009593078.1,Escherichia coli O157 typing phage 6, hypothetical protein,VOG05673,Escherichia coli O157 typing phage 6,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Mosigvirus; Escherichia virus O157tp6,NC_041864,NA,NA,NA,83334,Escherichia coli O157:H7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,NA,RefSeq,NA,NA,1,1508681.YP_009593078.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1519788,1,1519788.YP_009152883.1 RNA polymerase ECF sigma factor [Escherichia phage vB_EcoP_SU10],YP_009152883.1,Escherichia phage vB_EcoP_SU10, RNA polymerase ECF sigma factor,VOG00048,Escherichia phage vB_EcoP_SU10,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Kuravirus; Escherichia virus SU10,NC_027395,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1519788.YP_009152883.1,Podoviridae,sigma70-ECF,Sig70_bacteroi1,SigE-fam_strep,Sig70_bacteroi1,other,sig70-lkl4
1524910,1,1524910.YP_009098073.1 putative sigma factor [Staphylococcus phage MCE-2014],YP_009098073.1,Staphylococcus phage MCE-2014, putative sigma factor,VOG00048,Staphylococcus phage MCE-2014,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus; Staphylococcus virus MCE2014,NC_025416,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,RefSeq,NA,NA,1,1524910.YP_009098073.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1526408,1,1526408.YP_009099385.1 putative sigma factor [Staphylococcus phage P108],YP_009099385.1,Staphylococcus phage P108, putative sigma factor,VOG00048,Staphylococcus phage P108,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus; Staphylococcus virus P108,NC_025426,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,RefSeq,NA,NA,1,1526408.YP_009099385.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1527469,3,1527469.YP_009056383.1 RNA polymerase sigma factor [Bacillus phage Bobb],YP_009056383.1,Bacillus phage Bobb, RNA polymerase sigma factor,VOG00048,Bacillus phage Bobb,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Agatevirus; Bacillus virus Bobb,NC_024792,NA,NA,NA,1408,Bacillus pumilus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1527469.YP_009056383.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1527469,3,1527469.YP_009056357.1 RNA polymerase sigma factor [Bacillus phage Bobb],YP_009056357.1,Bacillus phage Bobb, RNA polymerase sigma factor,VOG00048,Bacillus phage Bobb,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Agatevirus; Bacillus virus Bobb,NC_024792,NA,NA,NA,1408,Bacillus pumilus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1527469.YP_009056357.1,Herelleviridae,sigma70-ECF,FliA_WhiG,spore_sigF,FliA_WhiG,stationary,sig70-3-fl
1527469,3,1527469.YP_009056358.1 RNA polymerase sigma factor [Bacillus phage Bobb],YP_009056358.1,Bacillus phage Bobb, RNA polymerase sigma factor,VOG00048,Bacillus phage Bobb,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Agatevirus; Bacillus virus Bobb,NC_024792,NA,NA,NA,1408,Bacillus pumilus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1527469.YP_009056358.1,Herelleviridae,SigBFG,spore_sigF,spore_sigG,spore_sigF,sporulation,sig70-3-spo
1527524,1,1527524.YP_009097653.1 sigma factor [Citrobacter phage Miller],YP_009097653.1,Citrobacter phage Miller, sigma factor,VOG05673,Citrobacter phage Miller,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_025414,NA,NA,NA,544,Citrobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NCBI Virus,NA,NA,2,1527524.YP_009097653.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1527770,2,1527770.YP_009099933.1 putative RNA polymerase sigma factor [Rhizobium phage vB_RleM_P10VF],YP_009099933.1,Rhizobium phage vB_RleM_P10VF, putative RNA polymerase sigma factor,VOG05673,Rhizobium phage vB_RleM_P10VF,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; unclassified Ackermannviridae,NC_025429,NA,NA,NA,384,Rhizobium leguminosarum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae; Rhizobium,NA,"NCBI Virus, RefSeq",NA,NA,1,1527770.YP_009099933.1,Ackermannviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1527770,2,1527770.YP_009099832.1 RNA polymerase sigma-70 factor [Rhizobium phage vB_RleM_P10VF],YP_009099832.1,Rhizobium phage vB_RleM_P10VF, RNA polymerase sigma-70 factor,VOG00048,Rhizobium phage vB_RleM_P10VF,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; unclassified Ackermannviridae,NC_025429,NA,NA,NA,384,Rhizobium leguminosarum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae; Rhizobium,NA,"NCBI Virus, RefSeq",NA,NA,1,1527770.YP_009099832.1,Ackermannviridae,SigE-fam_strep,Sig-70_gvs1,Sig70_bacteroi1,SigE-fam_strep,other,sig70-4
1540090,2,1540090.YP_009151070.1 RNA polymerase sigma factor [Bacillus phage Mater],YP_009151070.1,Bacillus phage Mater, RNA polymerase sigma factor,VOG00048,Bacillus phage Mater,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Bacillus virus Mater,NC_027366,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1540090.YP_009151070.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1540090,2,1540090.YP_009151040.1 RNA polymerase sigma factor [Bacillus phage Mater],YP_009151040.1,Bacillus phage Mater, RNA polymerase sigma factor,VOG00048,Bacillus phage Mater,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Bacillus virus Mater,NC_027366,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1540090.YP_009151040.1,Herelleviridae,spore_sigF,SigBFG,spore_sigG,spore_sigF,sporulation,sig70-3-spo
1540091,3,1540091.YP_009151693.1 RNA polymerase sigma factor [Bacillus phage Moonbeam],YP_009151693.1,Bacillus phage Moonbeam, RNA polymerase sigma factor,VOG00048,Bacillus phage Moonbeam,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Bacillus virus Moonbeam,NC_027374,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1540091.YP_009151693.1,Herelleviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
1540091,3,1540091.YP_009151727.1 RNA polymerase sigma factor [Bacillus phage Moonbeam],YP_009151727.1,Bacillus phage Moonbeam, RNA polymerase sigma factor,VOG00048,Bacillus phage Moonbeam,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Bacillus virus Moonbeam,NC_027374,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1540091.YP_009151727.1,Herelleviridae,SigBFG,spore_sigF,Sigma_B,spore_sigF,sporulation,sig70-3-spo
1540091,3,1540091.YP_009151728.1 RNA polymerase sigma factor [Bacillus phage Moonbeam],YP_009151728.1,Bacillus phage Moonbeam, RNA polymerase sigma factor,VOG00048,Bacillus phage Moonbeam,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Bacillus virus Moonbeam,NC_027374,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1540091.YP_009151728.1,Herelleviridae,spore_sigF,SigBFG,spore_sigG,spore_sigF,sporulation,sig70-3-spo
1540092,1,1540092.YP_009151513.1 RNA polymerase sigma factor [Bacillus phage Pascal],YP_009151513.1,Bacillus phage Pascal, RNA polymerase sigma factor,VOG00048,Bacillus phage Pascal,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Pagevirus; Bacillus virus Pascal,NC_027372,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1540092.YP_009151513.1,Podoviridae,spore_sigF,SigBFG,sigma70-ECF,spore_sigF,sporulation,sig70-3-spo
1540093,1,1540093.YP_009152845.1 RNA polymerase sigma factor [Bacillus phage Pookie],YP_009152845.1,Bacillus phage Pookie, RNA polymerase sigma factor,VOG00048,Bacillus phage Pookie,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Pagevirus; Bacillus virus Pookie,NC_027394,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1540093.YP_009152845.1,Podoviridae,spore_sigF,SigBFG,sigma70-ECF,spore_sigF,sporulation,sig70-3-spo
1540095,1,1540095.YP_009146498.1 sigma factor for late transcription [Citrobacter phage Moon],YP_009146498.1,Citrobacter phage Moon, sigma factor for late transcription,VOG05673,Citrobacter phage Moon,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Moonvirus; Citrobacter virus Moon,NC_027331,NA,NA,NA,546,Citrobacter freundii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Citrobacter; Citrobacter freundii complex,NA,RefSeq,NA,NA,1,1540095.YP_009146498.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
1541686,1,1541686.YP_009321607.1 sigma factor [Campylobacter phage PC14],YP_009321607.1,Campylobacter phage PC14, sigma factor,VOG05673,Campylobacter phage PC14,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eucampyvirinae; Fletchervirus; unclassified Fletchervirus,NC_031909,NA,NA,NA,197,Campylobacter jejuni,Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales; Campylobacteraceae; Campylobacter,NA,"NCBI Virus, RefSeq",NA,NA,1,1541686.YP_009321607.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1541825,1,1541825.YP_009100610.1 late sigma transcription factor [Shigella phage Shf125875],YP_009100610.1,Shigella phage Shf125875, late sigma transcription factor,VOG05673,Shigella phage Shf125875,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Mosigvirus; Shigella virus UTAM,NC_025437,NA,NA,NA,623,Shigella flexneri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,RefSeq,NA,NA,1,1541825.YP_009100610.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1542477,1,1542477.YP_009213628.1 putative late sigma factor [Prochlorococcus phage P-TIM68],YP_009213628.1,Prochlorococcus phage P-TIM68, putative late sigma factor,VOG05673,Prochlorococcus phage P-TIM68,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_028955,NA,NA,NA,1218,Prochlorococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Prochloraceae,NA,NCBI Virus,NA,NA,2,1542477.YP_009213628.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
1551641,1,1551641.YP_009110883.1 RNA polymerase sigma factor [Shigella phage pSs-1],YP_009110883.1,Shigella phage pSs-1, RNA polymerase sigma factor,VOG05673,Shigella phage pSs-1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Shigella virus Pss1,NC_025829,NA,NA,NA,624,Shigella sonnei,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,RefSeq,NA,NA,1,1551641.YP_009110883.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1555202,2,1555202.YP_009102178.1 RNA polymerase sigma factor [Escherichia phage 121Q],YP_009102178.1,Escherichia phage 121Q, RNA polymerase sigma factor,VOG05673,Escherichia phage 121Q,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Asteriusvirus; Escherichia virus 121Q,NC_025447,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1555202.YP_009102178.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1555202,2,1555202.YP_009101754.1 RNA polymerase sigma factor [Escherichia phage 121Q],YP_009101754.1,Escherichia phage 121Q, RNA polymerase sigma factor,VOG00048,Escherichia phage 121Q,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Asteriusvirus; Escherichia virus 121Q,NC_025447,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1555202.YP_009101754.1,Myoviridae,RpoD_Cterm,Sig70-cyanoRpoD,rpoS_proteo,RpoD_Cterm,primary,sig70-1
1564096,1,1564096.YP_009147586.1 sigma factor involved in late transcription [Erwinia phage phiEa2809],YP_009147586.1,Erwinia phage phiEa2809, sigma factor involved in late transcription,VOG05673,Erwinia phage phiEa2809,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Erwinia virus Ea2809,NC_027340,NA,NA,NA,552,Erwinia amylovora,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae; Erwinia,NA,RefSeq,NA,NA,1,1564096.YP_009147586.1,Ackermannviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1567026,1,1567026.YP_009205757.1 RNA polymerase sigma factor [Escherichia phage vb_EcoM-VR5],YP_009205757.1,Escherichia phage vb_EcoM-VR5, RNA polymerase sigma factor,VOG05673,Escherichia phage vb_EcoM-VR5,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Dhakavirus; Escherichia virus VR5,NC_028881,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1567026.YP_009205757.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1567027,1,1567027.YP_009207243.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_VR20],YP_009207243.1,Escherichia phage vB_EcoM_VR20, RNA polymerase sigma factor,VOG05673,Escherichia phage vB_EcoM_VR20,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Gaprivervirus; Escherichia virus VR20,NC_028894,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1567027.YP_009207243.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1567028,1,1567028.YP_009209807.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_VR25],YP_009209807.1,Escherichia phage vB_EcoM_VR25, RNA polymerase sigma factor,VOG05673,Escherichia phage vB_EcoM_VR25,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Gaprivervirus; Escherichia virus VR25,NC_028925,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1567028.YP_009209807.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1567029,1,1567029.YP_009213900.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_VR26],YP_009213900.1,Escherichia phage vB_EcoM_VR26, RNA polymerase sigma factor,VOG05673,Escherichia phage vB_EcoM_VR26,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Gaprivervirus; Escherichia virus VR26,NC_028957,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1567029.YP_009213900.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1567484,1,1567484.YP_009222342.1 hypothetical protein [Lactobacillus phage LfeInf],YP_009222342.1,Lactobacillus phage LfeInf, hypothetical protein,VOG00048,Lactobacillus phage LfeInf,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; unclassified Herelleviridae,NC_029058,NA,NA,NA,1613,Limosilactobacillus fermentum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae; Limosilactobacillus,NA,"NCBI Virus, RefSeq",NA,NA,1,1567484.YP_009222342.1,Herelleviridae,FliA_WhiG,NA,NA,FliA_WhiG,stationary,sig70-3-fl
1572703,1,1572703.YP_009195970.1 putative sigma factor [Staphylococcus phage phiIPLA-RODI],YP_009195970.1,Staphylococcus phage phiIPLA-RODI, putative sigma factor,VOG00048,Staphylococcus phage phiIPLA-RODI,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus; Staphylococcus virus Rodi,NC_028765,NA,NA,NA,29387,Staphylococcus sp.,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,RefSeq,NA,NA,1,1572703.YP_009195970.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1572704,1,1572704.YP_009214532.1 sigma factor [Staphylococcus phage phiIPLA-C1C],YP_009214532.1,Staphylococcus phage phiIPLA-C1C, sigma factor,VOG00048,Staphylococcus phage phiIPLA-C1C,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Sepunavirus; Staphylococcus virus IPLAC1C,NC_028962,NA,NA,NA,29387,Staphylococcus sp.,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,RefSeq,NA,NA,1,1572704.YP_009214532.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1589265,1,1589265.YP_009200333.1 RNA polymerase sigma factor [Yersinia phage vB_YenM_TG1],YP_009200333.1,Yersinia phage vB_YenM_TG1, RNA polymerase sigma factor,VOG05673,Yersinia phage vB_YenM_TG1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tegunavirus; Yersinia virus TG1,NC_028820,NA,NA,NA,630,Yersinia enterocolitica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae; Yersinia,NA,RefSeq,NA,NA,1,1589265.YP_009200333.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1589733,1,1589733.YP_009188220.1 sigma factor for late transcription [Cyanophage P-TIM40],YP_009188220.1,Cyanophage P-TIM40, sigma factor for late transcription,VOG05673,Cyanophage P-TIM40,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Libanvirus; Prochlorococcus virus PTIM40,NC_028663,NA,NA,NA,59920,Prochlorococcus marinus str. NATL2A,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Prochloraceae; Prochlorococcus; Prochlorococcus marinus,NA,RefSeq,NA,NA,1,1589733.YP_009188220.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
