header,protein,sp,description,group,new.header
NP_628915.1 hypothetical protein SCO4757 [Streptomyces coelicolor A3(2)],NP_628915.1,Streptomyces coelicolor A3(2), hypothetical protein SCO4757,bacteria,NP_628915.1_bacteria
NP_627808.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_627808.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_627808.1_bacteria
NP_629018.1 ECF sigma factor [Streptomyces coelicolor A3(2)],NP_629018.1,Streptomyces coelicolor A3(2), ECF sigma factor,bacteria,NP_629018.1_bacteria
NP_629061.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_629061.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_629061.1_bacteria
NP_625550.1 ECF-sigma factor [Streptomyces coelicolor A3(2)],NP_625550.1,Streptomyces coelicolor A3(2), ECF-sigma factor,bacteria,NP_625550.1_bacteria
NP_625240.1 RNA polymerase sigma factor SigL [Streptomyces coelicolor A3(2)],NP_625240.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor SigL,bacteria,NP_625240.1_bacteria
NP_625104.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_625104.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_625104.1_bacteria
NP_624529.1 sigma factor [Streptomyces coelicolor A3(2)],NP_624529.1,Streptomyces coelicolor A3(2), sigma factor,bacteria,NP_624529.1_bacteria
NP_627901.1 ECF sigma factor [Streptomyces coelicolor A3(2)],NP_627901.1,Streptomyces coelicolor A3(2), ECF sigma factor,bacteria,NP_627901.1_bacteria
NP_627654.1 ECF subfamily RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_627654.1,Streptomyces coelicolor A3(2), ECF subfamily RNA polymerase sigma factor,bacteria,NP_627654.1_bacteria
NP_625996.1 RNA polymerase sigma factor SigK [Streptomyces coelicolor A3(2)],NP_625996.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor SigK,bacteria,NP_625996.1_bacteria
NP_629020.1 ECF sigma factor [Streptomyces coelicolor A3(2)],NP_629020.1,Streptomyces coelicolor A3(2), ECF sigma factor,bacteria,NP_629020.1_bacteria
NP_625164.1 ECF family RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_625164.1,Streptomyces coelicolor A3(2), ECF family RNA polymerase sigma factor,bacteria,NP_625164.1_bacteria
NP_627178.1 RNA polymerase sigma factor SigL [Streptomyces coelicolor A3(2)],NP_627178.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor SigL,bacteria,NP_627178.1_bacteria
NP_639689.1 ecf family sigma factor (plasmid) [Streptomyces coelicolor A3(2)],NP_639689.1,Streptomyces coelicolor A3(2), ecf family sigma factor (plasmid),bacteria,NP_639689.1_bacteria
NP_628323.1 ECF family RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_628323.1,Streptomyces coelicolor A3(2), ECF family RNA polymerase sigma factor,bacteria,NP_628323.1_bacteria
NP_625166.1 ECF family RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_625166.1,Streptomyces coelicolor A3(2), ECF family RNA polymerase sigma factor,bacteria,NP_625166.1_bacteria
NP_629295.1 RNA polymerase sigma factor SigE [Streptomyces coelicolor A3(2)],NP_629295.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor SigE,bacteria,NP_629295.1_bacteria
NP_627533.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_627533.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_627533.1_bacteria
NP_629363.1 RNA polymerase sigma factor RpoE [Streptomyces coelicolor A3(2)],NP_629363.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor RpoE,bacteria,NP_629363.1_bacteria
NP_629048.1 RNA polymerase factor sigma-70 [Streptomyces coelicolor A3(2)],NP_629048.1,Streptomyces coelicolor A3(2), RNA polymerase factor sigma-70,bacteria,NP_629048.1_bacteria
NP_628078.1 RNA polymerase sigma factor SigM [Streptomyces coelicolor A3(2)],NP_628078.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor SigM,bacteria,NP_628078.1_bacteria
WP_011002009.1 MULTISPECIES: RNA polymerase sigma factor [Ralstonia],WP_011002009.1,Ralstonia, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011002009.1_bacteria
WP_011002824.1 MULTISPECIES: RNA polymerase sigma factor [Ralstonia],WP_011002824.1,Ralstonia, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011002824.1_bacteria
WP_043876817.1 MULTISPECIES: RNA polymerase sigma factor [Ralstonia],WP_043876817.1,Ralstonia, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_043876817.1_bacteria
WP_011004147.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Ralstonia],WP_011004147.1,Ralstonia, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011004147.1_bacteria
WP_011003934.1 MULTISPECIES: RNA polymerase sigma factor [Ralstonia],WP_011003934.1,Ralstonia, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011003934.1_bacteria
WP_011002888.1 MULTISPECIES: RNA polymerase sigma factor [Ralstonia],WP_011002888.1,Ralstonia, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011002888.1_bacteria
WP_011000001.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Ralstonia],WP_011000001.1,Ralstonia, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011000001.1_bacteria
WP_011004896.1 MULTISPECIES: RNA polymerase sigma factor [Ralstonia],WP_011004896.1,Ralstonia, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011004896.1_bacteria
WP_011002284.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Ralstonia],WP_011002284.1,Ralstonia, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011002284.1_bacteria
WP_003264474.1 MULTISPECIES: RNA polymerase sigma factor RpoE [Ralstonia],WP_003264474.1,Ralstonia, MULTISPECIES: RNA polymerase sigma factor RpoE,bacteria,WP_003264474.1_bacteria
NP_250146.1 flagellar biosynthesis sigma factor FliA [Pseudomonas aeruginosa PAO1],NP_250146.1,Pseudomonas aeruginosa PAO1, flagellar biosynthesis sigma factor FliA,bacteria,NP_250146.1_bacteria
NP_250054.1 ECF subfamily sigma-70 factor [Pseudomonas aeruginosa PAO1],NP_250054.1,Pseudomonas aeruginosa PAO1, ECF subfamily sigma-70 factor,bacteria,NP_250054.1_bacteria
NP_249366.1 ECF sigma factor VreI [Pseudomonas aeruginosa PAO1],NP_249366.1,Pseudomonas aeruginosa PAO1, ECF sigma factor VreI,bacteria,NP_249366.1_bacteria
NP_253583.1 RNA polymerase sigma factor [Pseudomonas aeruginosa PAO1],NP_253583.1,Pseudomonas aeruginosa PAO1, RNA polymerase sigma factor,bacteria,NP_253583.1_bacteria
NP_250783.1 RNA polymerase sigma factor [Pseudomonas aeruginosa PAO1],NP_250783.1,Pseudomonas aeruginosa PAO1, RNA polymerase sigma factor,bacteria,NP_250783.1_bacteria
NP_250740.1 RNA polymerase sigma factor [Pseudomonas aeruginosa PAO1],NP_250740.1,Pseudomonas aeruginosa PAO1, RNA polymerase sigma factor,bacteria,NP_250740.1_bacteria
NP_250042.1 ECF subfamily sigma-70 factor [Pseudomonas aeruginosa PAO1],NP_250042.1,Pseudomonas aeruginosa PAO1, ECF subfamily sigma-70 factor,bacteria,NP_250042.1_bacteria
NP_248839.1 ECF subfamily sigma-70 factor [Pseudomonas aeruginosa PAO1],NP_248839.1,Pseudomonas aeruginosa PAO1, ECF subfamily sigma-70 factor,bacteria,NP_248839.1_bacteria
NP_251077.1 RNA polymerase sigma factor [Pseudomonas aeruginosa PAO1],NP_251077.1,Pseudomonas aeruginosa PAO1, RNA polymerase sigma factor,bacteria,NP_251077.1_bacteria
NP_251116.1 extracytoplasmic-function sigma-70 factor [Pseudomonas aeruginosa PAO1],NP_251116.1,Pseudomonas aeruginosa PAO1, extracytoplasmic-function sigma-70 factor,bacteria,NP_251116.1_bacteria
NP_249163.1 RNA polymerase sigma factor [Pseudomonas aeruginosa PAO1],NP_249163.1,Pseudomonas aeruginosa PAO1, RNA polymerase sigma factor,bacteria,NP_249163.1_bacteria
NP_250602.1 ECF sigma factor FemI [Pseudomonas aeruginosa PAO1],NP_250602.1,Pseudomonas aeruginosa PAO1, ECF sigma factor FemI,bacteria,NP_250602.1_bacteria
NP_251975.1 ECF subfamily sigma-70 factor [Pseudomonas aeruginosa PAO1],NP_251975.1,Pseudomonas aeruginosa PAO1, ECF subfamily sigma-70 factor,bacteria,NP_251975.1_bacteria
NP_249991.1 ECF subfamily sigma-70 factor [Pseudomonas aeruginosa PAO1],NP_249991.1,Pseudomonas aeruginosa PAO1, ECF subfamily sigma-70 factor,bacteria,NP_249991.1_bacteria
NP_252588.1 RNA polymerase sigma factor [Pseudomonas aeruginosa PAO1],NP_252588.1,Pseudomonas aeruginosa PAO1, RNA polymerase sigma factor,bacteria,NP_252588.1_bacteria
NP_252100.1 ECF subfamily sigma-70 factor [Pseudomonas aeruginosa PAO1],NP_252100.1,Pseudomonas aeruginosa PAO1, ECF subfamily sigma-70 factor,bacteria,NP_252100.1_bacteria
NP_251158.1 ECF sigma factor FoxI [Pseudomonas aeruginosa PAO1],NP_251158.1,Pseudomonas aeruginosa PAO1, ECF sigma factor FoxI,bacteria,NP_251158.1_bacteria
NP_250467.1 RNA polymerase sigma factor SigX [Pseudomonas aeruginosa PAO1],NP_250467.1,Pseudomonas aeruginosa PAO1, RNA polymerase sigma factor SigX,bacteria,NP_250467.1_bacteria
NP_251586.1 RNA polymerase sigma factor [Pseudomonas aeruginosa PAO1],NP_251586.1,Pseudomonas aeruginosa PAO1, RNA polymerase sigma factor,bacteria,NP_251586.1_bacteria
NP_249453.1 RNA polymerase sigma factor AlgU [Pseudomonas aeruginosa PAO1],NP_249453.1,Pseudomonas aeruginosa PAO1, RNA polymerase sigma factor AlgU,bacteria,NP_249453.1_bacteria
WP_021665844.1 sigma-70 family RNA polymerase sigma factor [Porphyromonas gingivalis],WP_021665844.1,Porphyromonas gingivalis, sigma-70 family RNA polymerase sigma factor,bacteria,WP_021665844.1_bacteria
WP_004583457.1 RNA polymerase sigma factor [Porphyromonas gingivalis],WP_004583457.1,Porphyromonas gingivalis, RNA polymerase sigma factor,bacteria,WP_004583457.1_bacteria
WP_004583806.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Porphyromonas],WP_004583806.1,Porphyromonas, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_004583806.1_bacteria
WP_012457922.1 sigma-70 family RNA polymerase sigma factor [Porphyromonas gingivalis],WP_012457922.1,Porphyromonas gingivalis, sigma-70 family RNA polymerase sigma factor,bacteria,WP_012457922.1_bacteria
WP_004585541.1 sigma-70 family RNA polymerase sigma factor [Porphyromonas gingivalis],WP_004585541.1,Porphyromonas gingivalis, sigma-70 family RNA polymerase sigma factor,bacteria,WP_004585541.1_bacteria
WP_012457515.1 RNA polymerase sigma factor [Porphyromonas gingivalis],WP_012457515.1,Porphyromonas gingivalis, RNA polymerase sigma factor,bacteria,WP_012457515.1_bacteria
WP_011551625.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011551625.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011551625.1_bacteria
WP_026113866.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_026113866.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_026113866.1_bacteria
WP_011557208.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_011557208.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011557208.1_bacteria
WP_020478620.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_020478620.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_020478620.1_bacteria
WP_011554965.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_011554965.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011554965.1_bacteria
WP_020478589.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_020478589.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_020478589.1_bacteria
WP_011552262.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011552262.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011552262.1_bacteria
WP_026113921.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_026113921.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_026113921.1_bacteria
WP_011555230.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_011555230.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011555230.1_bacteria
WP_011556117.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011556117.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011556117.1_bacteria
WP_011550811.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_011550811.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011550811.1_bacteria
WP_011555464.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_011555464.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011555464.1_bacteria
WP_011555683.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_011555683.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011555683.1_bacteria
WP_020477814.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_020477814.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_020477814.1_bacteria
WP_020478156.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_020478156.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_020478156.1_bacteria
WP_011554319.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_011554319.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011554319.1_bacteria
WP_026114018.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_026114018.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_026114018.1_bacteria
WP_011553459.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011553459.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011553459.1_bacteria
WP_011557133.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011557133.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011557133.1_bacteria
WP_011553704.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011553704.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011553704.1_bacteria
WP_011550349.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011550349.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011550349.1_bacteria
WP_011557245.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_011557245.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011557245.1_bacteria
WP_011551772.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_011551772.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011551772.1_bacteria
WP_011552470.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011552470.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011552470.1_bacteria
WP_020478532.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_020478532.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_020478532.1_bacteria
WP_011554312.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011554312.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011554312.1_bacteria
WP_011552571.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011552571.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011552571.1_bacteria
WP_171452326.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_171452326.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_171452326.1_bacteria
WP_011553969.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011553969.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011553969.1_bacteria
WP_020478333.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_020478333.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_020478333.1_bacteria
WP_011554150.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011554150.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011554150.1_bacteria
WP_026113852.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_026113852.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_026113852.1_bacteria
WP_026114044.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_026114044.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_026114044.1_bacteria
WP_026113989.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_026113989.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_026113989.1_bacteria
WP_011554720.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011554720.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011554720.1_bacteria
NP_217931.1 ECF RNA polymerase sigma factor SigD [Mycobacterium tuberculosis H37Rv],NP_217931.1,Mycobacterium tuberculosis H37Rv, ECF RNA polymerase sigma factor SigD,bacteria,NP_217931.1_bacteria
NP_217845.1 ECF RNA polymerase sigma factor SigJ [Mycobacterium tuberculosis H37Rv],NP_217845.1,Mycobacterium tuberculosis H37Rv, ECF RNA polymerase sigma factor SigJ,bacteria,NP_217845.1_bacteria
NP_215705.1 ECF RNA polymerase sigma factor SigI [Mycobacterium tuberculosis H37Rv],NP_215705.1,Mycobacterium tuberculosis H37Rv, ECF RNA polymerase sigma factor SigI,bacteria,NP_215705.1_bacteria
NP_214959.1 ECF RNA polymerase sigma factor SigK [Mycobacterium tuberculosis H37Rv],NP_214959.1,Mycobacterium tuberculosis H37Rv, ECF RNA polymerase sigma factor SigK,bacteria,NP_214959.1_bacteria
NP_216585.1 ECF RNA polymerase sigma factor SigC [Mycobacterium tuberculosis H37Rv],NP_216585.1,Mycobacterium tuberculosis H37Rv, ECF RNA polymerase sigma factor SigC,bacteria,NP_216585.1_bacteria
NP_217739.1 ECF RNA polymerase sigma factor SigH [Mycobacterium tuberculosis H37Rv],NP_217739.1,Mycobacterium tuberculosis H37Rv, ECF RNA polymerase sigma factor SigH,bacteria,NP_217739.1_bacteria
NP_215249.1 ECF RNA polymerase sigma factor SigL [Mycobacterium tuberculosis H37Rv],NP_215249.1,Mycobacterium tuberculosis H37Rv, ECF RNA polymerase sigma factor SigL,bacteria,NP_215249.1_bacteria
NP_215737.1 ECF RNA polymerase sigma factor SigE [Mycobacterium tuberculosis H37Rv],NP_215737.1,Mycobacterium tuberculosis H37Rv, ECF RNA polymerase sigma factor SigE,bacteria,NP_215737.1_bacteria
NP_214696.1 ECF RNA polymerase sigma factor SigG [Mycobacterium tuberculosis H37Rv],NP_214696.1,Mycobacterium tuberculosis H37Rv, ECF RNA polymerase sigma factor SigG,bacteria,NP_214696.1_bacteria
NP_463774.1 RNA polymerase factor sigma-70 [Listeria monocytogenes EGD-e],NP_463774.1,Listeria monocytogenes EGD-e, RNA polymerase factor sigma-70,bacteria,NP_463774.1_bacteria
NP_463952.1 RNA polymerase factor sigma C [Listeria monocytogenes EGD-e],NP_463952.1,Listeria monocytogenes EGD-e, RNA polymerase factor sigma C,bacteria,NP_463952.1_bacteria
NP_418713.1 RNA polymerase sigma factor FecI [Escherichia coli str. K-12 substr. MG1655],NP_418713.1,Escherichia coli str. K-12 substr. MG1655, RNA polymerase sigma factor FecI,bacteria,NP_418713.1_bacteria
NP_417068.1 RNA polymerase sigma E factor [Escherichia coli str. K-12 substr. MG1655],NP_417068.1,Escherichia coli str. K-12 substr. MG1655, RNA polymerase sigma E factor,bacteria,NP_417068.1_bacteria
WP_027480180.1 RNA polymerase sigma factor [Deinococcus radiodurans],WP_027480180.1,Deinococcus radiodurans, RNA polymerase sigma factor,bacteria,WP_027480180.1_bacteria
WP_014306532.1 sigma-70 family RNA polymerase sigma factor [Corynebacterium diphtheriae],WP_014306532.1,Corynebacterium diphtheriae, sigma-70 family RNA polymerase sigma factor,bacteria,WP_014306532.1_bacteria
WP_014308159.1 sigma-70 family RNA polymerase sigma factor [Corynebacterium diphtheriae],WP_014308159.1,Corynebacterium diphtheriae, sigma-70 family RNA polymerase sigma factor,bacteria,WP_014308159.1_bacteria
WP_041740603.1 RNA polymerase sigma factor [Corynebacterium diphtheriae],WP_041740603.1,Corynebacterium diphtheriae, RNA polymerase sigma factor,bacteria,WP_041740603.1_bacteria
WP_014311116.1 sigma-70 family RNA polymerase sigma factor [Corynebacterium diphtheriae],WP_014311116.1,Corynebacterium diphtheriae, sigma-70 family RNA polymerase sigma factor,bacteria,WP_014311116.1_bacteria
WP_014301156.1 sigma-70 family RNA polymerase sigma factor [Corynebacterium diphtheriae],WP_014301156.1,Corynebacterium diphtheriae, sigma-70 family RNA polymerase sigma factor,bacteria,WP_014301156.1_bacteria
WP_021334972.1 MULTISPECIES: RNA polymerase sigma factor SigE [Corynebacterium],WP_021334972.1,Corynebacterium, MULTISPECIES: RNA polymerase sigma factor SigE,bacteria,WP_021334972.1_bacteria
WP_014318785.1 sigma-70 family RNA polymerase sigma factor [Corynebacterium diphtheriae],WP_014318785.1,Corynebacterium diphtheriae, sigma-70 family RNA polymerase sigma factor,bacteria,WP_014318785.1_bacteria
WP_009892548.1 RNA polymerase sporulation sigma factor SigH [Clostridioides difficile],WP_009892548.1,Clostridioides difficile, RNA polymerase sporulation sigma factor SigH,bacteria,WP_009892548.1_bacteria
WP_003439159.1 sigma-70 family RNA polymerase sigma factor [Clostridioides difficile],WP_003439159.1,Clostridioides difficile, sigma-70 family RNA polymerase sigma factor,bacteria,WP_003439159.1_bacteria
WP_003436663.1 sigma-70 family RNA polymerase sigma factor [Clostridioides difficile],WP_003436663.1,Clostridioides difficile, sigma-70 family RNA polymerase sigma factor,bacteria,WP_003436663.1_bacteria
WP_032506877.1 RNA polymerase sigma factor [Clostridioides difficile],WP_032506877.1,Clostridioides difficile, RNA polymerase sigma factor,bacteria,WP_032506877.1_bacteria
WP_155250046.1 RNA polymerase sigma factor [Bdellovibrio bacteriovorus],WP_155250046.1,Bdellovibrio bacteriovorus, RNA polymerase sigma factor,bacteria,WP_155250046.1_bacteria
WP_025307382.1 RNA polymerase sigma factor [Bdellovibrio bacteriovorus],WP_025307382.1,Bdellovibrio bacteriovorus, RNA polymerase sigma factor,bacteria,WP_025307382.1_bacteria
WP_025307296.1 sigma-70 family RNA polymerase sigma factor [Bdellovibrio bacteriovorus],WP_025307296.1,Bdellovibrio bacteriovorus, sigma-70 family RNA polymerase sigma factor,bacteria,WP_025307296.1_bacteria
WP_032841206.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_032841206.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_032841206.1_bacteria
WP_008762686.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_008762686.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_008762686.1_bacteria
WP_011109391.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_011109391.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_011109391.1_bacteria
WP_005681497.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_005681497.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_005681497.1_bacteria
WP_008761425.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_008761425.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_008761425.1_bacteria
WP_008760068.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_008760068.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_008760068.1_bacteria
WP_008763953.1 RNA polymerase sigma-70 factor [Bacteroides thetaiotaomicron],WP_008763953.1,Bacteroides thetaiotaomicron, RNA polymerase sigma-70 factor,bacteria,WP_008763953.1_bacteria
WP_062694661.1 RNA polymerase sigma-70 factor [Bacteroides thetaiotaomicron],WP_062694661.1,Bacteroides thetaiotaomicron, RNA polymerase sigma-70 factor,bacteria,WP_062694661.1_bacteria
WP_008767805.1 sigma-70 family RNA polymerase sigma factor [Bacteroides thetaiotaomicron],WP_008767805.1,Bacteroides thetaiotaomicron, sigma-70 family RNA polymerase sigma factor,bacteria,WP_008767805.1_bacteria
WP_011108473.1 sigma-70 family RNA polymerase sigma factor [Bacteroides thetaiotaomicron],WP_011108473.1,Bacteroides thetaiotaomicron, sigma-70 family RNA polymerase sigma factor,bacteria,WP_011108473.1_bacteria
WP_048697630.1 MULTISPECIES: RNA polymerase sigma factor [Bacteroides],WP_048697630.1,Bacteroides, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_048697630.1_bacteria
WP_008764520.1 RNA polymerase sigma-70 factor [Bacteroides thetaiotaomicron],WP_008764520.1,Bacteroides thetaiotaomicron, RNA polymerase sigma-70 factor,bacteria,WP_008764520.1_bacteria
WP_008764619.1 sigma-70 family RNA polymerase sigma factor [Bacteroides thetaiotaomicron],WP_008764619.1,Bacteroides thetaiotaomicron, sigma-70 family RNA polymerase sigma factor,bacteria,WP_008764619.1_bacteria
WP_008762876.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_008762876.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_008762876.1_bacteria
WP_008766735.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_008766735.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_008766735.1_bacteria
WP_008765767.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Bacteroides],WP_008765767.1,Bacteroides, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_008765767.1_bacteria
WP_008763979.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_008763979.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_008763979.1_bacteria
