#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG14672	4	4	Xu	REFSEQ hypothetical protein
VOG14673	5	5	Xu	REFSEQ hypothetical protein
VOG14674	5	5	Xu	REFSEQ hypothetical protein
VOG14675	3	3	Xu	REFSEQ hypothetical protein
VOG14676	3	3	Xu	REFSEQ hypothetical protein
VOG14677	3	3	Xu	REFSEQ hypothetical protein
VOG14678	3	3	Xu	REFSEQ hypothetical protein
VOG14679	3	3	Xu	REFSEQ hypothetical protein
VOG14680	3	3	Xu	REFSEQ hypothetical protein
VOG14681	3	3	Xu	REFSEQ hypothetical protein
VOG14682	5	5	Xu	REFSEQ hypothetical protein
VOG14683	6	6	Xu	REFSEQ hypothetical protein
VOG14684	3	3	Xu	REFSEQ hypothetical protein
VOG14685	6	6	Xu	REFSEQ hypothetical protein
VOG14686	6	6	Xu	REFSEQ virion structural protein
VOG14687	6	6	Xu	REFSEQ virion structural protein
VOG14688	5	5	Xu	REFSEQ hypothetical protein
VOG14689	3	3	Xu	REFSEQ hypothetical protein
VOG14690	5	5	Xu	REFSEQ hypothetical protein
VOG14691	3	3	Xu	REFSEQ hypothetical protein
VOG14692	3	3	Xu	REFSEQ hypothetical protein
VOG14693	3	3	Xu	REFSEQ hypothetical protein
VOG14694	3	3	Xu	REFSEQ hypothetical protein
VOG14695	3	3	Xu	REFSEQ hypothetical protein
VOG14696	3	3	Xu	REFSEQ hypothetical protein
VOG14697	4	4	Xu	REFSEQ hypothetical protein
VOG14698	3	3	Xu	REFSEQ hypothetical protein
VOG14699	3	3	Xu	REFSEQ hypothetical protein
VOG14700	3	3	Xu	REFSEQ hypothetical protein
VOG14701	3	3	Xu	REFSEQ hypothetical protein
VOG14702	3	3	Xu	REFSEQ hypothetical protein
VOG14703	6	6	Xu	REFSEQ virion structural protein
VOG14704	3	3	Xu	REFSEQ hypothetical protein
VOG14705	5	5	Xu	REFSEQ hypothetical protein
VOG14706	5	5	Xu	REFSEQ hypothetical protein
VOG14707	6	6	Xu	REFSEQ hypothetical protein
VOG14708	6	6	Xu	REFSEQ hypothetical protein
VOG14709	6	6	Xu	REFSEQ hypothetical protein
VOG14710	4	4	Xu	REFSEQ hypothetical protein
VOG14711	6	6	Xu	REFSEQ hypothetical protein
VOG14712	5	5	Xu	REFSEQ hypothetical protein
VOG14713	4	4	Xu	REFSEQ hypothetical protein
VOG14714	4	4	Xu	REFSEQ hypothetical protein
VOG14715	3	3	Xu	REFSEQ hypothetical protein
VOG14716	3	3	Xu	REFSEQ hypothetical protein
VOG14717	3	3	Xu	REFSEQ hypothetical protein
VOG14718	3	3	Xu	REFSEQ hypothetical protein
VOG14719	5	5	Xu	REFSEQ hypothetical protein
VOG14720	3	3	Xu	REFSEQ hypothetical protein
VOG14721	3	3	Xu	REFSEQ hypothetical protein
VOG14722	3	3	Xu	REFSEQ hypothetical protein
VOG14723	3	3	Xu	REFSEQ hypothetical protein
VOG14724	6	6	Xu	REFSEQ hypothetical protein
VOG14725	3	3	Xu	REFSEQ hypothetical protein
VOG14726	5	5	Xu	REFSEQ hypothetical protein
VOG14727	3	3	Xu	REFSEQ hypothetical protein
VOG14728	3	3	Xu	REFSEQ hypothetical protein
VOG14729	6	6	Xu	REFSEQ hypothetical protein
VOG14730	3	3	Xu	REFSEQ hypothetical protein
VOG14731	4	4	Xu	REFSEQ hypothetical protein
VOG14732	3	3	Xu	REFSEQ hypothetical protein
VOG14733	4	4	Xu	REFSEQ hypothetical protein
VOG14734	3	3	Xu	REFSEQ hypothetical protein
VOG14735	6	6	Xu	REFSEQ hypothetical protein
VOG14736	7	7	Xu	REFSEQ hypothetical protein
VOG14737	3	3	Xu	REFSEQ hypothetical protein
VOG14738	3	3	Xu	REFSEQ hypothetical protein
VOG14739	3	3	Xu	REFSEQ hypothetical protein
VOG14740	4	4	Xu	REFSEQ hypothetical protein
VOG14741	4	4	Xu	REFSEQ hypothetical protein
VOG14742	4	4	Xu	REFSEQ hypothetical protein
VOG14743	3	3	Xu	REFSEQ hypothetical protein
VOG14744	3	3	Xu	REFSEQ hypothetical protein
VOG14745	4	4	Xu	REFSEQ hypothetical protein
VOG14746	3	3	Xu	REFSEQ hypothetical protein
VOG14747	3	3	Xu	REFSEQ hypothetical protein
VOG14748	3	3	Xu	REFSEQ hypothetical protein
VOG14749	4	4	Xu	REFSEQ hypothetical protein
VOG14750	3	3	Xu	REFSEQ hypothetical protein
VOG14751	3	3	Xu	REFSEQ hypothetical protein
VOG14752	3	3	Xu	REFSEQ hypothetical protein
VOG14753	3	3	Xu	REFSEQ hypothetical protein
VOG14754	3	3	Xu	REFSEQ hypothetical protein
VOG14755	3	3	Xu	REFSEQ hypothetical protein
VOG14756	3	3	Xu	REFSEQ hypothetical protein
VOG14757	5	5	Xu	REFSEQ hypothetical protein
VOG14758	5	5	Xu	REFSEQ hypothetical protein
VOG14759	3	3	Xu	REFSEQ hypothetical protein
VOG14760	3	3	Xu	REFSEQ hypothetical protein
VOG14761	3	3	Xu	REFSEQ hypothetical protein
VOG14762	3	3	Xu	REFSEQ hypothetical protein
VOG14763	5	5	Xu	REFSEQ hypothetical protein
VOG14764	3	3	Xu	REFSEQ hypothetical protein
VOG14765	3	3	Xu	REFSEQ hypothetical protein
VOG14766	3	3	Xu	REFSEQ hypothetical protein
VOG14767	3	3	Xu	REFSEQ hypothetical protein
VOG14768	3	3	Xu	REFSEQ hypothetical protein
VOG14769	3	3	Xu	REFSEQ hypothetical protein
VOG14770	3	3	Xu	REFSEQ hypothetical protein
VOG14771	3	3	Xu	REFSEQ hypothetical protein
VOG14772	3	3	Xu	REFSEQ hypothetical protein
VOG14773	3	3	Xu	REFSEQ hypothetical protein
VOG14774	3	3	Xu	REFSEQ hypothetical protein
VOG14775	3	3	Xu	REFSEQ hypothetical protein
VOG14776	3	3	Xu	REFSEQ hypothetical protein
VOG14777	3	3	Xu	REFSEQ hypothetical protein
VOG14778	4	4	Xu	REFSEQ hypothetical protein
VOG14779	3	3	Xu	REFSEQ hypothetical protein
VOG14780	3	3	Xu	REFSEQ hypothetical protein
VOG14781	3	3	Xu	REFSEQ hypothetical protein
VOG14782	3	3	Xu	REFSEQ hypothetical protein
VOG14783	3	3	Xu	REFSEQ hypothetical protein
VOG14784	3	3	Xu	REFSEQ hypothetical protein
VOG14785	3	3	Xu	REFSEQ hypothetical protein
VOG14786	3	3	Xu	REFSEQ hypothetical protein
VOG14787	3	3	Xu	REFSEQ hypothetical protein
VOG14788	3	3	Xu	REFSEQ hypothetical protein
VOG14789	4	4	Xu	REFSEQ hypothetical protein
VOG14790	5	5	Xu	REFSEQ hypothetical protein
VOG14791	4	4	Xu	REFSEQ hypothetical protein
VOG14792	5	5	Xu	REFSEQ hypothetical protein
VOG14793	3	3	Xu	REFSEQ hypothetical protein
VOG14794	3	3	Xu	REFSEQ hypothetical protein
VOG14795	3	3	Xu	REFSEQ hypothetical protein
VOG14796	6	6	Xu	REFSEQ hypothetical protein
VOG14797	4	4	Xu	REFSEQ hypothetical protein
VOG14798	4	4	Xu	REFSEQ hypothetical protein
VOG14799	3	3	Xu	REFSEQ hypothetical protein
VOG14800	3	3	Xu	REFSEQ hypothetical protein
VOG14801	3	3	Xu	REFSEQ hypothetical protein
VOG14802	4	4	Xu	REFSEQ hypothetical protein
VOG14803	3	3	Xu	REFSEQ hypothetical protein
VOG14804	3	3	Xu	REFSEQ hypothetical protein
VOG14805	3	3	Xu	REFSEQ hypothetical protein
VOG14806	7	7	Xu	REFSEQ hypothetical protein
VOG14807	3	3	Xu	REFSEQ hypothetical protein
VOG14808	3	3	Xu	REFSEQ hypothetical protein
VOG14809	3	3	Xu	REFSEQ hypothetical protein
VOG14810	3	3	Xu	REFSEQ hypothetical protein
VOG14811	3	3	Xu	REFSEQ hypothetical protein
VOG14812	5	5	Xu	REFSEQ hypothetical protein
VOG14813	3	3	Xu	REFSEQ hypothetical protein
VOG14814	3	3	Xu	REFSEQ hypothetical protein
VOG14815	3	3	Xu	REFSEQ hypothetical protein
VOG14816	3	3	Xu	REFSEQ hypothetical protein
VOG14817	3	3	Xu	REFSEQ hypothetical protein
VOG14818	3	3	Xu	REFSEQ hypothetical protein
VOG14819	3	3	Xu	REFSEQ hypothetical protein
VOG14820	3	3	Xu	REFSEQ hypothetical protein
VOG14821	3	3	Xu	REFSEQ hypothetical protein
VOG14822	3	3	Xu	REFSEQ hypothetical protein
VOG14823	3	3	Xu	REFSEQ hypothetical protein
VOG14824	3	3	Xu	REFSEQ hypothetical protein
VOG14825	4	4	Xu	REFSEQ hypothetical protein
VOG14826	3	3	Xu	REFSEQ hypothetical protein
VOG14827	3	3	Xu	REFSEQ hypothetical protein
VOG14828	3	3	Xu	REFSEQ hypothetical protein
VOG14829	4	4	Xu	REFSEQ hypothetical protein
VOG14830	4	4	Xu	REFSEQ hypothetical protein
VOG14831	3	3	Xu	REFSEQ membrane protein
VOG14832	9	9	Xu	REFSEQ capsid and scaffold protein
VOG14833	8	8	Xu	REFSEQ holin
VOG14834	7	7	Xr	sp|P20710|VXIS_BPL54 Excisionase
VOG14835	8	8	Xu	REFSEQ hypothetical protein
VOG14836	6	6	Xu	REFSEQ hypothetical protein
VOG14837	16	16	Xu	REFSEQ hypothetical protein
VOG14838	9	9	Xu	REFSEQ hypothetical protein
VOG14839	10	10	Xu	REFSEQ hypothetical protein
VOG14840	9	9	Xu	REFSEQ hypothetical protein
VOG14841	9	9	Xu	REFSEQ hypothetical protein
VOG14842	9	9	Xu	REFSEQ hypothetical protein
VOG14843	10	10	Xu	REFSEQ hypothetical protein
VOG14844	4	4	Xu	REFSEQ hypothetical protein
VOG14845	10	10	Xu	REFSEQ hypothetical protein
VOG14846	7	7	Xu	REFSEQ hypothetical protein
VOG14847	9	9	Xu	REFSEQ hypothetical protein
VOG14848	9	9	Xu	REFSEQ hypothetical protein
VOG14849	10	10	Xu	REFSEQ hypothetical protein
VOG14850	10	10	Xu	REFSEQ hypothetical protein
VOG14851	9	9	Xu	REFSEQ hypothetical protein
VOG14852	7	7	Xu	REFSEQ hypothetical protein
VOG14853	9	9	Xu	REFSEQ hypothetical protein
VOG14854	10	10	Xu	REFSEQ hypothetical protein
VOG14855	5	5	Xu	REFSEQ hypothetical protein
VOG14856	3	3	Xu	REFSEQ hypothetical protein
VOG14857	9	9	Xu	REFSEQ hypothetical protein
VOG14858	9	9	Xu	REFSEQ hypothetical protein
VOG14859	5	5	Xu	REFSEQ hypothetical protein
VOG14860	5	5	Xu	REFSEQ hypothetical protein
VOG14861	4	4	Xu	REFSEQ hypothetical protein
VOG14862	3	3	Xu	REFSEQ hypothetical protein
VOG14863	4	4	Xu	REFSEQ hypothetical protein
VOG14864	4	4	Xu	REFSEQ hypothetical protein
VOG14865	3	3	Xu	REFSEQ hypothetical protein
VOG14866	4	4	Xu	REFSEQ hypothetical protein
VOG14867	4	4	Xu	REFSEQ hypothetical protein
VOG14868	7	7	Xu	REFSEQ hypothetical protein
VOG14869	3	3	Xu	REFSEQ hypothetical protein
VOG14870	5	5	Xu	REFSEQ KilA-N domain-containing protein
VOG14871	4	4	Xu	REFSEQ hypothetical protein
VOG14872	5	5	Xu	REFSEQ hypothetical protein
VOG14873	4	4	Xu	REFSEQ hypothetical protein
VOG14874	4	4	Xu	REFSEQ hypothetical protein
VOG14875	7	7	Xu	REFSEQ hypothetical protein
VOG14876	4	4	Xu	REFSEQ hypothetical protein
VOG14877	4	4	Xu	REFSEQ hypothetical protein
VOG14878	5	5	Xu	REFSEQ hypothetical protein
VOG14879	5	5	Xu	REFSEQ hypothetical protein
VOG14880	5	5	Xu	REFSEQ hypothetical protein
VOG14881	5	5	Xu	REFSEQ hypothetical protein
VOG14882	4	4	Xu	REFSEQ hypothetical protein
VOG14883	4	4	Xu	REFSEQ hypothetical protein
VOG14884	5	5	Xu	REFSEQ hypothetical protein
VOG14885	4	4	Xu	REFSEQ hypothetical protein
VOG14886	3	3	Xu	REFSEQ hypothetical protein
VOG14887	3	3	Xu	REFSEQ hypothetical protein
VOG14888	4	4	Xu	REFSEQ hypothetical protein
VOG14889	5	5	Xu	REFSEQ hypothetical protein
VOG14890	5	5	Xu	REFSEQ hypothetical protein
VOG14891	3	3	Xu	REFSEQ hypothetical protein
VOG14892	3	3	Xu	REFSEQ Gp46
VOG14893	3	3	Xu	REFSEQ antirepressor AntA
VOG14894	3	3	Xu	REFSEQ hypothetical protein
VOG14895	3	3	Xu	REFSEQ hypothetical protein
VOG14896	3	3	Xu	REFSEQ hypothetical protein
VOG14897	3	3	Xu	REFSEQ hypothetical protein
VOG14898	3	3	Xu	REFSEQ hypothetical protein
VOG14899	3	3	Xu	REFSEQ hypothetical protein
VOG14900	3	3	Xu	REFSEQ hypothetical protein
VOG14901	3	3	Xu	REFSEQ hypothetical protein
VOG14902	3	3	Xu	REFSEQ hypothetical protein
VOG14903	3	3	Xu	REFSEQ DUF3644 domain-containing protein
VOG14904	3	3	Xu	sp|Q3V4T8|Y192_ATV Uncharacterized protein ORF192
VOG14905	6	6	Xu	sp|Q3V4T3|Y048_ATV Uncharacterized protein ORF48
VOG14906	4	4	Xu	REFSEQ hypothetical protein
VOG14907	3	3	Xu	REFSEQ hypothetical protein
VOG14908	3	3	Xs	sp|Q3V4V5|Y326A_ATV Structural protein ORF326a
VOG14909	3	3	Xs	sp|Q3V4V6|Y187_ATV Structural protein ORF187
VOG14910	6	6	Xu	sp|P20215|D63_SSV1 Protein D-63
VOG14911	3	3	Xu	sp|Q3V4S5|Y240_ATV Uncharacterized protein ORF240
VOG14912	3	3	Xu	REFSEQ hypothetical protein
VOG14913	3	3	Xu	REFSEQ hypothetical protein
VOG14914	3	3	Xu	REFSEQ hypothetical protein
VOG14915	8	8	Xu	REFSEQ hypothetical protein
VOG14916	8	8	Xu	REFSEQ hypothetical protein
VOG14917	7	7	Xu	REFSEQ hypothetical protein
VOG14918	9	9	Xu	REFSEQ hypothetical protein
VOG14919	4	4	Xu	REFSEQ hypothetical protein
VOG14920	3	3	Xu	sp|P15317|YHYA_BPH44 Uncharacterized 65 kDa protein in hyaluronidase region
VOG14921	3	3	Xu	REFSEQ hypothetical protein
VOG14922	4	4	Xu	REFSEQ hypothetical protein
VOG14923	9	9	Xu	REFSEQ hypothetical protein
VOG14924	3	3	Xu	REFSEQ hypothetical protein
VOG14925	5	5	Xu	REFSEQ hypothetical protein
VOG14926	3	3	Xu	REFSEQ hypothetical protein
VOG14927	3	3	Xu	REFSEQ hypothetical protein
VOG14928	5	5	Xu	REFSEQ hypothetical protein
VOG14929	5	5	Xu	REFSEQ hypothetical protein
VOG14930	5	5	Xu	REFSEQ hypothetical protein
VOG14931	5	5	Xu	REFSEQ hypothetical protein
VOG14932	5	5	Xu	REFSEQ hypothetical protein
VOG14933	5	5	Xu	REFSEQ hypothetical protein
VOG14934	5	5	Xu	REFSEQ hypothetical protein
VOG14935	5	5	Xu	REFSEQ hypothetical protein
VOG14936	5	5	Xu	REFSEQ hypothetical protein
VOG14937	5	5	Xu	REFSEQ hypothetical protein
VOG14938	5	5	Xu	REFSEQ peptidase
VOG14939	5	5	Xu	REFSEQ hypothetical protein
VOG14940	5	5	Xu	REFSEQ hypothetical protein
VOG14941	5	5	Xu	REFSEQ structural protein
VOG14942	5	5	Xu	REFSEQ hypothetical protein
VOG14943	5	5	Xu	REFSEQ hypothetical protein
VOG14944	5	5	Xu	REFSEQ hypothetical protein
VOG14945	5	5	Xu	REFSEQ hypothetical protein
VOG14946	5	5	Xu	REFSEQ hypothetical protein
VOG14947	5	5	Xu	REFSEQ hypothetical protein
VOG14948	5	5	Xu	REFSEQ hypothetical protein
VOG14949	5	5	Xu	REFSEQ hypothetical protein
VOG14950	5	5	Xu	REFSEQ hypothetical protein
VOG14951	5	5	Xu	REFSEQ hypothetical protein
VOG14952	6	6	Xu	REFSEQ thiamine biosynthesis protein ThiF
VOG14953	6	6	Xu	REFSEQ hypothetical protein
VOG14954	5	5	Xu	REFSEQ hypothetical protein
VOG14955	5	5	Xu	REFSEQ hypothetical protein
VOG14956	5	5	Xu	REFSEQ hypothetical protein
VOG14957	5	5	Xu	REFSEQ hypothetical protein
VOG14958	5	5	Xu	REFSEQ hypothetical protein
VOG14959	5	5	Xu	REFSEQ hypothetical protein
VOG14960	5	5	Xu	REFSEQ hypothetical protein
VOG14961	3	3	Xu	REFSEQ putative tail fiber protein
VOG14962	9	9	Xu	REFSEQ hypothetical protein
VOG14963	3	3	Xu	REFSEQ hypothetical protein
VOG14964	4	4	Xu	REFSEQ hypothetical protein
VOG14965	3	3	Xu	REFSEQ DUF4231 domain-containing protein
VOG14966	5	5	Xu	REFSEQ hypothetical protein
VOG14967	4	4	Xu	REFSEQ hypothetical protein
VOG14968	4	4	Xu	REFSEQ PcfU
VOG14969	3	3	Xu	REFSEQ hypothetical protein
VOG14970	5	5	Xu	REFSEQ hypothetical protein
VOG14971	3	3	Xu	REFSEQ hypothetical protein
VOG14972	5	5	Xu	REFSEQ hypothetical protein
VOG14973	4	4	Xu	REFSEQ holin
VOG14974	4	4	Xu	REFSEQ hypothetical protein
VOG14975	3	3	Xu	REFSEQ hypothetical protein
VOG14976	3	3	Xu	REFSEQ hypothetical protein
VOG14977	3	3	Xu	REFSEQ hypothetical protein
VOG14978	5	5	Xu	REFSEQ hypothetical protein
VOG14979	3	3	Xu	REFSEQ hypothetical protein
VOG14980	5	5	Xu	REFSEQ hypothetical protein
VOG14981	3	3	Xu	REFSEQ hypothetical protein
VOG14982	3	3	Xu	REFSEQ hypothetical protein
VOG14983	3	3	Xu	REFSEQ hypothetical protein
VOG14984	3	3	Xu	REFSEQ hypothetical protein
VOG14985	3	3	Xu	REFSEQ hypothetical protein
VOG14986	6	6	Xu	REFSEQ hypothetical protein
VOG14987	3	3	Xu	REFSEQ hypothetical protein
VOG14988	3	3	Xu	REFSEQ hypothetical protein
VOG14989	3	3	Xu	REFSEQ hypothetical protein
VOG14990	3	3	Xu	REFSEQ hypothetical protein
VOG14991	3	3	Xu	REFSEQ hypothetical protein
VOG14992	3	3	Xu	REFSEQ hypothetical protein
VOG14993	3	3	Xu	REFSEQ hypothetical protein
VOG14994	3	3	Xu	REFSEQ hypothetical protein
VOG14995	3	3	Xu	REFSEQ hypothetical protein
VOG14996	4	4	Xu	REFSEQ hypothetical protein
VOG14997	3	3	Xu	REFSEQ hypothetical protein
VOG14998	3	3	Xu	REFSEQ hypothetical protein
VOG14999	3	3	Xu	REFSEQ hypothetical protein
VOG15000	4	4	Xu	sp|P14322|YI90_MYCPC Insertion element IS900 uncharacterized 42 kDa protein
VOG15001	3	3	Xu	REFSEQ hypothetical protein
VOG15002	3	3	Xu	REFSEQ hypothetical protein
VOG15003	5	5	Xu	sp|Q914M7|Y003_SIFVH Uncharacterized protein 3
VOG15004	6	6	Xu	sp|Q914M5|Y005_SIFVH Uncharacterized protein 5
VOG15005	6	6	Xu	sp|Q914M2|Y008_SIFVH Uncharacterized protein 8
VOG15006	6	6	Xu	sp|Q914M1|Y009_SIFVH Uncharacterized protein 9
VOG15007	6	6	Xu	sp|Q914L9|Y011_SIFVH Uncharacterized protein 11
VOG15008	6	6	Xu	sp|Q914L8|Y012_SIFVH Uncharacterized protein 12
VOG15009	4	4	Xu	sp|Q914K9|Y021_SIFVH Uncharacterized protein 21
VOG15010	7	7	Xu	sp|Q573G6|Y122_AFV2P Uncharacterized protein ORF122
VOG15011	6	6	Xu	sp|Q914K5|Y025_SIFVH Uncharacterized protein 25
VOG15012	7	7	Xu	sp|Q573G5|Y100B_AFV2P Uncharacterized protein ORF100b
VOG15013	6	6	Xu	sp|Q914K0|Y030_SIFVH Uncharacterized protein 30
VOG15014	6	6	Xu	sp|Q914J8|Y032_SIFVH Uncharacterized protein 32
VOG15015	6	6	Xu	sp|Q914J7|Y033_SIFVH Uncharacterized protein 33
VOG15016	6	6	Xu	sp|Q914J6|Y034_SIFVH Uncharacterized protein 34
VOG15017	6	6	Xu	sp|Q914J5|Y035_SIFVH Uncharacterized protein 35
VOG15018	6	6	Xu	sp|Q914J4|Y036_SIFVH Uncharacterized protein 36
VOG15019	6	6	Xu	sp|Q914J3|Y037_SIFVH Uncharacterized protein 37
VOG15020	6	6	Xu	sp|Q914J2|Y038_SIFVH Uncharacterized protein 38
VOG15021	6	6	Xu	sp|Q914J1|Y040_SIFVH Uncharacterized protein 40
VOG15022	6	6	Xu	sp|Q573D1|Y090_AFV2P Uncharacterized protein ORF90
VOG15023	6	6	Xu	sp|Q573D5|Y554_AFV2P Uncharacterized protein ORF554
VOG15024	6	6	Xu	sp|Q914G5|Y067_SIFVH Uncharacterized protein 67
VOG15025	4	4	Xu	sp|Q914G2|Y070_SIFVH Uncharacterized protein 70
VOG15026	4	4	Xu	sp|Q914G1|Y071_SIFVH Uncharacterized protein 71
VOG15027	6	6	Xu	sp|Q914G0|Y072_SIFVH Uncharacterized protein 72
VOG15028	9	9	Xu	REFSEQ hypothetical protein
VOG15029	8	8	Xu	REFSEQ hypothetical protein
VOG15030	7	7	Xu	REFSEQ hypothetical protein
VOG15031	10	10	Xu	REFSEQ hypothetical protein
VOG15032	9	9	Xu	REFSEQ hypothetical protein
VOG15033	10	10	Xu	REFSEQ hypothetical protein
VOG15034	3	3	Xu	REFSEQ hypothetical protein
VOG15035	9	9	Xu	REFSEQ hypothetical protein
VOG15036	9	9	Xu	REFSEQ hypothetical protein
VOG15037	8	8	Xu	REFSEQ hypothetical protein
VOG15038	9	9	Xu	REFSEQ hypothetical protein
VOG15039	12	12	Xu	REFSEQ DNA primase
VOG15040	9	9	Xu	REFSEQ hypothetical protein
VOG15041	9	9	Xu	REFSEQ hypothetical protein
VOG15042	9	9	Xu	REFSEQ hypothetical protein
VOG15043	10	10	Xu	REFSEQ hypothetical protein
VOG15044	9	9	Xu	REFSEQ hypothetical protein
VOG15045	9	9	Xu	REFSEQ hypothetical protein
VOG15046	9	9	Xu	REFSEQ hypothetical protein
VOG15047	5	5	Xu	REFSEQ hypothetical protein
VOG15048	6	6	Xu	REFSEQ hypothetical protein
VOG15049	6	6	Xu	REFSEQ hypothetical protein
VOG15050	20	20	Xu	REFSEQ hypothetical protein
VOG15051	17	17	Xu	REFSEQ hypothetical protein
VOG15052	20	20	Xu	REFSEQ hypothetical protein
VOG15053	21	21	Xu	REFSEQ hypothetical protein
VOG15054	17	17	Xu	REFSEQ hypothetical protein
VOG15055	4	4	Xu	REFSEQ hypothetical protein
VOG15056	3	3	Xu	REFSEQ hypothetical protein
VOG15057	10	10	Xu	REFSEQ minor tail protein
VOG15058	5	5	Xu	REFSEQ hypothetical protein
VOG15059	6	6	Xu	REFSEQ hypothetical protein
VOG15060	6	6	Xu	REFSEQ hypothetical protein
VOG15061	3	3	Xu	REFSEQ hypothetical protein
VOG15062	3	3	Xu	REFSEQ hypothetical protein
VOG15063	8	8	Xu	REFSEQ hypothetical protein
VOG15064	4	4	Xu	REFSEQ ribbon-helix-helix DNA binding domain protein
VOG15065	6	6	Xu	REFSEQ hypothetical protein
VOG15066	3	3	Xu	REFSEQ hypothetical protein
VOG15067	6	6	Xu	REFSEQ hypothetical protein
VOG15068	6	6	Xu	REFSEQ hypothetical protein
VOG15069	6	6	Xu	REFSEQ hypothetical protein
VOG15070	4	4	Xu	REFSEQ hypothetical protein
VOG15071	4	4	Xu	REFSEQ hypothetical protein
VOG15072	4	4	Xu	REFSEQ hypothetical protein
VOG15073	5	5	Xu	REFSEQ hypothetical protein
VOG15074	5	5	Xu	REFSEQ hypothetical protein
VOG15075	3	3	Xu	REFSEQ hypothetical protein
VOG15076	3	3	Xu	REFSEQ hypothetical protein
VOG15077	5	5	Xu	REFSEQ hypothetical protein
VOG15078	3	3	Xu	REFSEQ hypothetical protein
VOG15079	5	5	Xu	REFSEQ hypothetical protein
VOG15080	5	5	Xu	REFSEQ hypothetical protein
VOG15081	5	5	Xu	REFSEQ hypothetical protein
VOG15082	4	4	Xu	REFSEQ hypothetical protein
VOG15083	3	3	Xu	REFSEQ hypothetical protein
VOG15084	4	4	Xu	REFSEQ hypothetical protein
VOG15085	3	3	Xu	REFSEQ hypothetical protein
VOG15086	5	5	Xu	REFSEQ hypothetical protein
VOG15087	3	3	Xu	REFSEQ hypothetical protein
VOG15088	3	3	Xu	REFSEQ hypothetical protein
VOG15089	3	3	Xu	REFSEQ hypothetical protein
VOG15090	3	3	Xu	REFSEQ hypothetical protein
VOG15091	3	3	Xu	REFSEQ hypothetical protein
VOG15092	3	3	Xu	REFSEQ hypothetical protein
VOG15093	3	3	Xu	REFSEQ hypothetical protein
VOG15094	3	3	Xu	REFSEQ hypothetical protein
VOG15095	3	3	Xu	REFSEQ hypothetical protein
VOG15096	3	3	Xu	REFSEQ hypothetical protein
VOG15097	3	3	Xu	REFSEQ hypothetical protein
VOG15098	3	3	Xu	REFSEQ hypothetical protein
VOG15099	3	3	Xu	REFSEQ hypothetical protein
VOG15100	3	3	Xu	REFSEQ hypothetical protein
VOG15101	3	3	Xu	REFSEQ hypothetical protein
VOG15102	3	3	Xu	REFSEQ hypothetical protein
VOG15103	3	3	Xu	REFSEQ hypothetical protein
VOG15104	3	3	Xu	REFSEQ hypothetical protein
VOG15105	3	3	Xu	REFSEQ major tail protein
VOG15106	4	4	Xu	REFSEQ hypothetical protein
VOG15107	3	3	Xu	REFSEQ hypothetical protein
VOG15108	3	3	Xu	REFSEQ hypothetical protein
VOG15109	3	3	Xu	REFSEQ hypothetical protein
VOG15110	3	3	Xu	REFSEQ hypothetical protein
VOG15111	3	3	Xu	REFSEQ hypothetical protein
VOG15112	4	4	Xu	REFSEQ hypothetical protein
VOG15113	3	3	Xu	REFSEQ hypothetical protein
VOG15114	3	3	Xu	REFSEQ hypothetical protein
VOG15115	3	3	Xu	REFSEQ hypothetical protein
VOG15116	3	3	Xu	REFSEQ hypothetical protein
VOG15117	3	3	Xu	REFSEQ hypothetical protein
VOG15118	3	3	Xu	REFSEQ hypothetical protein
VOG15119	3	3	Xu	REFSEQ hypothetical protein
VOG15120	3	3	Xu	REFSEQ hypothetical protein
VOG15121	3	3	Xu	REFSEQ hypothetical protein
VOG15122	3	3	Xu	REFSEQ hypothetical protein
VOG15123	3	3	Xu	REFSEQ hypothetical protein
VOG15124	3	3	Xu	REFSEQ putative glycosyl hydrolase
VOG15125	4	4	Xu	REFSEQ GNAT family N-acetyltransferase
VOG15126	3	3	Xu	REFSEQ PadR family transcriptional regulator
VOG15127	3	3	Xu	REFSEQ hypothetical protein
VOG15128	3	3	Xu	REFSEQ hypothetical protein
VOG15129	3	3	Xu	REFSEQ hypothetical protein
VOG15130	3	3	Xu	REFSEQ hypothetical protein
VOG15131	3	3	Xu	REFSEQ hypothetical protein
VOG15132	3	3	Xu	REFSEQ hypothetical protein
VOG15133	3	3	Xu	REFSEQ FHA domain-containing protein
VOG15134	3	3	Xu	REFSEQ hypothetical protein
VOG15135	3	3	Xu	REFSEQ hypothetical protein
VOG15136	3	3	Xu	REFSEQ hypothetical protein
VOG15137	3	3	Xu	REFSEQ hypothetical protein
VOG15138	3	3	Xu	REFSEQ hypothetical protein
VOG15139	3	3	Xu	REFSEQ hypothetical protein
VOG15140	3	3	Xu	REFSEQ hypothetical protein
VOG15141	3	3	Xu	REFSEQ putative transcriptional repressor
VOG15142	3	3	Xu	REFSEQ hypothetical protein
VOG15143	3	3	Xu	REFSEQ hypothetical protein
VOG15144	3	3	Xu	REFSEQ hypothetical protein
VOG15145	3	3	Xu	REFSEQ hypothetical protein
VOG15146	3	3	Xu	REFSEQ hypothetical protein
VOG15147	3	3	Xu	REFSEQ hypothetical protein
VOG15148	3	3	Xu	REFSEQ hypothetical protein
